Group,Step1,Question1,Tip1,Step2,Question2,Tip2,Step3,Question3,Tip3,image_url
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__270.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__180.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__0.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg
7,Long sight lines,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point","Long sight line: the ability to see at least 1,000 feet or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed",Proportion of Sky,Estimate the proportion of sky in your frame vision along the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",Proportion of Sky,Estimate the proportion of sky in your frame vision across the street,"Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller",https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg
